proportionalf_3.txt,wrench_fz.txt,integralf_2.txt,integralf_5.txt,wrench_fx.txt,wrench_my.txt,wrench_mx.txt,wrench_fy.txt,proportionalf_1.txt,integralf_1.txt,wrench_mz.txt,proportionalf_5.txt,proportionalf_4.txt,integralf_4.txt,proportionalf_2.txt,integralf_3.txt,veld2.txt,accd4.txt,accd2.txt,posd4.txt,error_vel_2.txt,error_vel_4.txt,error_vel_1.txt,veld4.txt,accd5.txt,error_pos_4.txt,posa3.txt,error_pos_5.txt,posa5.txt,vela1.txt,error_pos_2.txt,trq2.txt,trq3.txt,vela5.txt,posd1.txt,veld3.txt,posa2.txt,posa4.txt,posd2.txt,trq5.txt,error_vel_5.txt,trq4.txt,trq1.txt,veld1.txt,accd3.txt,posd5.txt,error_pos_1.txt,accd1.txt,vela3.txt,error_pos_3.txt,vela4.txt,veld5.txt,posd3.txt,posa1.txt,vela2.txt,error_vel_3.txt
,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.000309734,0.0,-0.00884956,0.00402768,0.0176991,0.0,-0.000331858,-1.5708e-05,-2.21239e-05,6.63717e-05,0.0308789,0.0,-0.0,0.09715,0.00147493,0.00088609,0.0,-0.0,0.000641593,0.0,-0.507934,0.0,-0.162945,-0.919776,0.0349066,0.0,4.42478e-05,-0.000332284,0.0,0.0,0.0,0.0265487,0.00147493,-1.5708e-05,0.00121837,-0.0,0.0
,,,,,,,,,,,,,,,,2.33205e-05,0.00704538,0.0046524,0.000486843,2.33205e-05,-0.0324131,6.60105e-05,0.0177344,0.000995921,-0.000685723,-7.85398e-05,-5.16058e-05,0.000110619,0.0349066,-9.99137e-06,-0.015678,-0.19095,0.00147493,0.00123538,-6.06325e-05,1.00692e-05,0.00117257,7.78323e-08,-0.494018,4.99216e-06,-0.170187,-0.794352,0.0349726,-0.0120961,5.90137e-05,-0.000315282,0.0131688,-0.00314159,6.26295e-05,0.0501475,0.00147992,-1.59103e-05,0.00155066,-0.0,0.00308096
,,,,,,,,,,,,,,,,9.28148e-05,0.0139842,0.00923484,0.000664656,-0.00259231,-0.0396825,0.0123458,0.0178397,0.00197681,-0.00108313,-0.000314159,-5.88643e-05,0.000132743,0.0228235,-3.96565e-05,-0.047034,-0.2747,0.00147493,0.00158598,-0.000241316,4.02768e-05,0.00174779,6.20322e-07,-0.480102,1.98683e-05,-0.173808,-0.67938,0.0351693,-0.0240103,7.38791e-05,-0.000186203,0.0261382,-0.0198968,0.000296838,0.0575221,0.00149479,-1.73208e-05,0.00177218,0.00268512,0.0196554
,,,,,,,,,,,,,,,,0.000207785,0.0208169,0.0137477,0.000843866,-0.00449118,-0.0321337,0.0166988,0.0180138,0.00294274,-0.00139065,-0.00076969,-6.59252e-05,0.000154867,0.0187959,-8.85371e-05,-0.015678,-0.32495,0.00442478,0.00193919,-0.000540235,9.06229e-05,0.00223451,2.08572e-06,-0.466186,-0.00290537,-0.112251,-0.57486,0.0354947,-0.0357435,8.8942e-05,-2.43041e-05,0.0389094,-0.0408407,0.000748559,0.0501475,0.0015194,-2.11308e-05,0.0019635,0.00469896,0.0403005
,,,,,,,,,,,,,,,,0.000367537,0.027544,0.0181912,0.00102516,-0.00433143,-0.0215674,0.0137946,0.0182557,0.0038938,-0.00158546,-0.0015865,-7.2692e-05,0.000176991,0.0221523,-0.000136044,0.073164,-0.2613,0.00147493,0.00229629,-0.000955586,0.000140969,0.00261062,4.9253e-06,-0.459228,7.86736e-05,-0.003621,-0.538278,0.0359468,-0.0472967,0.000104299,0.000101207,0.0514832,-0.0753982,0.00155799,0.039823,0.0015536,-2.85136e-05,0.00219509,0.00469896,0.0744426
,,,,,,,,,,,,,,,,0.000571381,0.0341662,0.0225659,0.0012092,-0.00211374,-0.00945931,0.015714,0.0185643,0.00483005,-0.0016669,-0.00260752,-7.90695e-05,0.000199115,0.0208097,-0.000151524,0.125424,-0.23785,-0.0,0.00265854,-0.00148557,0.000161107,0.00287611,9.58344e-06,-0.45227,0.00159723,0.061557,-0.438984,0.0365237,-0.0586707,0.000120045,0.000272142,0.0638606,-0.0973894,0.0025669,0.0280236,0.00159723,-4.06246e-05,0.0023864,0.00268512,0.0959038
,,,,,,,,,,,,,,,,0.000818627,0.0406839,0.026872,0.00139666,0.000818627,0.00861414,0.0311819,0.0189386,0.00575157,-0.00156794,-0.00381704,-8.49642e-05,0.000221239,0.00604152,-0.000154679,0.162006,-0.3752,0.00442478,0.00302718,-0.00212841,0.000171177,0.0029646,1.64976e-05,-0.438354,-0.00277463,0.076041,-0.318786,0.0372234,-0.0698664,0.000136275,0.000610568,0.0760428,-0.117286,0.00375843,0.0103245,0.00165015,-5.86012e-05,0.00241661,-0.0,0.115158
,,,,,,,,,,,,,,,,0.00110859,0.0470977,0.0311099,0.00158819,0.000437313,0.0193776,0.0400578,0.0193776,0.00665843,-0.00137641,-0.00505796,-9.02838e-05,0.000243363,-0.00201384,-0.000145078,0.214266,-0.47905,0.00147493,0.00340341,-0.00288231,0.000171177,0.0029646,2.60984e-05,-0.431396,0.000237288,0.068799,-0.219492,0.0380439,-0.0808849,0.000153079,0.00100694,0.0880307,-0.128805,0.0049744,-0.0,0.00171221,-8.35629e-05,0.00239647,0.00067128,0.125923
,,,,,,,,,,,,,,,,0.0014406,0.0534081,0.03528,0.00178443,0.0014406,0.0198802,0.0389834,0.0198802,0.00755072,-0.00118017,-0.00626748,-0.000117062,0.000287611,-0.0,-0.000132367,0.250848,-0.57955,0.00147493,0.00378845,-0.00374551,0.000171177,0.0029646,3.88096e-05,-0.427917,0.000308345,0.065178,-0.162006,0.0389834,-0.0917269,0.000170549,0.00139198,0.0998252,-0.119381,0.00615087,-0.0,0.00178327,-0.000116612,0.00239647,-0.0,0.115635
,,,,,,,,,,,,,,,,0.00181397,0.0596156,0.0393826,0.001986,0.00181397,0.0204454,0.0400398,0.0204454,0.00842851,-0.000978598,-0.00763407,-0.000120961,0.000309734,-0.0,-0.000116128,0.271752,-0.57955,0.00442478,0.00418347,-0.00471626,0.000171177,0.0029646,5.50483e-05,-0.414001,-0.0025616,0.065178,-0.125424,0.0400398,-0.102393,0.000188774,0.001787,0.111427,-0.135088,0.00747524,-0.0,0.00186318,-0.000158832,0.00239647,-0.0,0.130372
